pressStart,pressStop,label,max beta,max gamma,min beta,min gamma,mean beta,mean gamma,AUB,ALB
1619040831682,1619040831733,3,0.0002175610224865,4.589964266741472e-05,0.0002175610224865,4.589964266741472e-05,0.0,0.0,1.3628717913212487,0.0
1619040833422,1619040833478,9,0.0001107494924865,-0.0002745349133325,0.0001107494924865,-0.0002745349133325,0.0,0.0,-0.3834405760511328,0.0
1619040834440,1619040834491,2,0.0001107494924865,0.0002595226866674,0.0001107494924865,0.0002595226866674,0.0,0.0,0.40334606582713783,0.0
1619040837220,1619040837264,6,0.0001107494924865,0.0004731457366674,0.0001107494924865,0.0004731457366674,0.0,0.0,0.22993099024931743,0.0
1619040849028,1619040849084,1,0.0003243725424865,0.0003663342166674,0.0003243725424865,0.0003663342166674,0.0,0.0,0.724720945649624,0.0
1619040873010,1619040873082,8,3.937972486535015e-06,-6.091188033258528e-05,3.937972486535015e-06,-6.091188033258528e-05,0.0,0.0,-0.06456047188409318,0.0
1619040875638,1619040875701,5,-0.0001944262875134,0.0001527111666674,-0.0001944262875134,0.0001527111666674,0.0,0.0,0.0,-0.9049935737674023
1619040938720,1619040938788,1,4.971433948653501e-05,-0.0003508288733325,4.971433948653501e-05,-0.0003508288733325,0.0,0.0,-0.14076814733955478,0.0
1619040942501,1619040942588,9,-4.183839451346499e-05,-0.0001372058233325,-4.183839451346499e-05,-0.0001372058233325,0.0,0.0,0.0,0.2959750564980907
1619040945095,1619040945150,4,0.0002633373724865,0.0001832287466674,0.0002633373724865,0.0001832287466674,0.0,0.0,0.9628982944910127,0.0
1619040945917,1619040945995,6,0.0003701489124865,-0.0004576403933325,0.0003701489124865,-0.0004576403933325,0.0,0.0,-0.6800961770267261,0.0
1619040959850,1619040959920,3,0.0004769604324865,7.641722066741472e-05,0.0004769604324865,7.641722066741472e-05,0.0,0.0,1.411929383945935,0.0
1619040963881,1619040963957,8,4.971433948653501e-05,-0.0001372058233325,4.971433948653501e-05,-0.0001372058233325,0.0,0.0,-0.3476202902366291,0.0
1619040967227,1619040967295,0,0.0005837719724865,7.641722066741472e-05,0.0005837719724865,7.641722066741472e-05,0.0,0.0,1.4406339072271725,0.0
1619040981484,1619040981543,7,0.0004769604324865,0.0003968517866674,0.0004769604324865,0.0003968517866674,0.0,0.0,0.8768197974646857,0.0
1619040982435,1619040982514,9,0.0003701489124865,-0.0002440173533325,0.0003701489124865,-0.0002440173533325,0.0,0.0,-0.9879521765197974,0.0
1619040984271,1619040984339,8,0.0004769604324865,-0.0001372058233325,0.0004769604324865,-0.0001372058233325,0.0,0.0,-1.290692170624327,0.0
1619040985074,1619040985142,4,0.0003701489124865,-0.0004576403933325,0.0003701489124865,-0.0004576403933325,0.0,0.0,-0.6800961770267261,0.0
1619040985868,1619040985947,6,0.0005837719724865,-0.0002440173533325,0.0005837719724865,-0.0002440173533325,0.0,0.0,-1.1748686751498334,0.0
1619040986641,1619040986718,5,0.0006905834724865,-0.0002440173533325,0.0006905834724865,-0.0002440173533325,0.0,0.0,-1.2311406281908515,0.0
1619040987470,1619040987539,0,0.0005837719724865,-0.0001372058233325,0.0005837719724865,-0.0001372058233325,0.0,0.0,-1.339952857764318,0.0
1619041003442,1619041003514,3,-1.1320816513464985e-05,9.167600666741472e-05,-1.1320816513464985e-05,9.167600666741472e-05,0.0,0.0,0.0,-0.1228652258754854
1619041004238,1619041004343,7,-0.0002249438675134,0.0003052990566674,-0.0002249438675134,0.0003052990566674,0.0,0.0,0.0,-0.6349984322030306
1619041053952,1619041054005,3,9.5490706486535e-05,-7.617066933258529e-05,9.5490706486535e-05,-7.617066933258529e-05,0.0,0.0,-0.8974739080014018,0.0
1619041054977,1619041055045,7,0.0002023022324865,0.0003510754266674,0.0002023022324865,0.0003510754266674,0.0,0.0,0.5227625270568723,0.0
1619041055711,1619041055798,9,9.5490706486535e-05,-0.0002897937133325,9.5490706486535e-05,-0.0002897937133325,0.0,0.0,-0.31830804463358353,0.0
1619041058115,1619041058186,4,9.5490706486535e-05,3.064085366741472e-05,9.5490706486535e-05,3.064085366741472e-05,0.0,0.0,1.2602972670208124,0.0
1619041059725,1619041059823,5,-0.0002096850775134,3.064085366741472e-05,-0.0002096850775134,3.064085366741472e-05,0.0,0.0,0.0,-1.42569534458783
1619041060581,1619041060644,0,0.0002023022324865,-0.0002897937133325,0.0002023022324865,-0.0002897937133325,0.0,0.0,-0.6094432574464577,0.0
1619041081136,1619041081198,3,-0.0002096850775134,0.0001374523766674,-0.0002096850775134,0.0001374523766674,0.0,0.0,0.0,-0.9905516820491395
1619041083937,1619041083995,2,3.937972486535015e-06,-0.0001829821933325,3.937972486535015e-06,-0.0001829821933325,0.0,0.0,-0.021517747809023,0.0
1619041084725,1619041084808,8,0.0005227367724865,3.064085366741472e-05,0.0005227367724865,3.064085366741472e-05,0.0,0.0,1.5122471011210081,0.0
1619041086669,1619041086773,6,-0.0002096850775134,3.064085366741472e-05,-0.0002096850775134,3.064085366741472e-05,0.0,0.0,0.0,-1.42569534458783
1619041088513,1619041088577,0,0.0003091137524865,0.0002442638866674,0.0003091137524865,0.0002442638866674,0.0,0.0,0.902055245484225,0.0
1619041109394,1619041109452,1,0.0002023022324865,0.0004578869466674,0.0002023022324865,0.0004578869466674,0.0,0.0,0.41602813152228685,0.0
1619041111952,1619041112014,9,0.0002023022324865,-7.617066933258529e-05,0.0002023022324865,-7.617066933258529e-05,0.0,0.0,-1.2106944442289485,0.0
1619041113747,1619041113813,8,-0.0001181323375134,0.0003510754266674,-0.0001181323375134,0.0003510754266674,0.0,0.0,0.0,-0.32458621626841544
1619041114590,1619041114661,4,-2.6579605513464985e-05,-0.0005034167633325,-2.6579605513464985e-05,-0.0005034167633325,0.0,0.0,0.0,0.052749432014241135
1619041115580,1619041115631,6,-0.0003317553875134,0.0003510754266674,-0.0003317553875134,0.0003510754266674,0.0,0.0,0.0,-0.757111674768458
1619041135530,1619041135609,4,-0.0001333911275134,-0.0001829821933325,-0.0001333911275134,-0.0001829821933325,0.0,0.0,0.0,0.6299147699625538
1619041306248,1619041306325,5,-0.0003012378075134,0.0002900402666674,-0.0003012378075134,0.0002900402666674,0.0,0.0,0.0,-0.8043337589908669
1619041308866,1619041308944,6,0.0001107494924865,-0.0003508288733325,0.0001107494924865,-0.0003508288733325,0.0,0.0,-0.3057788907501476,0.0
1619041309839,1619041309907,3,0.0006448071124865,7.641722066741472e-05,0.0006448071124865,7.641722066741472e-05,0.0,0.0,1.4528347794146341,0.0
1619041326653,1619041326694,1,0.0001107494924865,-0.0002440173533325,0.0001107494924865,-0.0002440173533325,0.0,0.0,-0.42605850480358115,0.0
1619041328269,1619041328340,9,0.0002175610224865,-0.0001372058233325,0.0002175610224865,-0.0001372058233325,0.0,0.0,-1.0081412314742206,0.0
1619041329065,1619041329135,2,0.0001107494924865,-3.039430233258528e-05,0.0001107494924865,-3.039430233258528e-05,0.0,0.0,-1.3029490410178457,0.0
1619041329853,1619041329913,6,0.0003243725424865,0.0002900402666674,0.0003243725424865,0.0002900402666674,0.0,0.0,0.8412183048200089,0.0
1619041330682,1619041330752,3,0.0003243725424865,-3.039430233258528e-05,0.0003243725424865,-3.039430233258528e-05,0.0,0.0,-1.4773672915858902,0.0
1619041333221,1619041333288,7,0.0002175610224865,0.0002900402666674,0.0002175610224865,0.0002900402666674,0.0,0.0,0.6435691179184424,0.0
1619041345608,1619041345694,5,0.0005379955724865,0.0001832287466674,0.0005379955724865,0.0001832287466674,0.0,0.0,1.242540986042667,0.0
1619041347444,1619041347507,2,0.0006448071124865,-0.0001372058233325,0.0006448071124865,-0.0001372058233325,0.0,0.0,-1.3611374591420142,0.0
1619041370167,1619041370248,6,3.445555048653501e-05,0.0003968517866674,3.445555048653501e-05,0.0003968517866674,0.0,0.0,0.08660503667579746,0.0
1619041372014,1619041372067,4,0.0003548901224865,-0.0003508288733325,0.0003548901224865,-0.0003508288733325,0.0,0.0,-0.7911528679559771,0.0
1619041385381,1619041385431,1,0.0001412670724865,-0.0001372058233325,0.0001412670724865,-0.0001372058233325,0.0,0.0,-0.7999811311421857,0.0
1619041389363,1619041389443,3,0.0001412670724865,-0.0001372058233325,0.0001412670724865,-0.0001372058233325,0.0,0.0,-0.7999811311421857,0.0
1619041392177,1619041392264,7,0.0001412670724865,-0.0003508288733325,0.0001412670724865,-0.0003508288733325,0.0,0.0,-0.38280306140315623,0.0
1619041409132,1619041409209,3,-0.0002707202275134,-0.0001372058233325,-0.0002707202275134,-0.0001372058233325,0.0,0.0,0.0,1.1017093853111053
1619041410164,1619041410225,4,0.0002480785924865,0.0001832287466674,0.0002480785924865,0.0001832287466674,0.0,0.0,0.934636711467046,0.0
1619041411106,1619041411195,8,0.0002480785924865,-0.0005644519133325,0.0002480785924865,-0.0005644519133325,0.0,0.0,-0.4140908314407314,0.0
1619041412931,1619041412988,0,3.445555048653501e-05,-0.0003508288733325,3.445555048653501e-05,-0.0003508288733325,0.0,0.0,-0.09789788909204135,0.0
1619041425950,1619041426018,9,0.0001107494924865,-0.0001829821933325,0.0001107494924865,-0.0001829821933325,0.0,0.0,-0.544268934875125,0.0
1619041426947,1619041427023,2,0.0001107494924865,0.0001374523766674,0.0001107494924865,0.0001374523766674,0.0,0.0,0.6782250435275291,0.0
1619041432497,1619041432548,0,0.0002175610224865,3.064085366741472e-05,0.0002175610224865,3.064085366741472e-05,0.0,0.0,1.4308786144383054,0.0
1619041443881,1619041443945,5,0.0001107494924865,3.064085366741472e-05,0.0001107494924865,3.064085366741472e-05,0.0,0.0,1.3008799421252868,0.0
1619041449498,1619041449567,8,-0.0001028735475134,-0.0002897937133325,-0.0001028735475134,-0.0002897937133325,0.0,0.0,0.0,0.34111232944190695
1619041475467,1619041475520,5,-7.235597251346499e-05,-0.0003508288733325,-7.235597251346499e-05,-0.0003508288733325,0.0,0.0,0.0,0.20339110104031993
1619041479027,1619041479096,3,0.0001412670724865,-0.0001372058233325,0.0001412670724865,-0.0001372058233325,0.0,0.0,-0.7999811311421857,0.0
1619041480226,1619041480320,4,-7.235597251346499e-05,-0.0002440173533325,-7.235597251346499e-05,-0.0002440173533325,0.0,0.0,0.0,0.2882608839417973
1619041481862,1619041481932,7,3.445555048653501e-05,-0.0001372058233325,3.445555048653501e-05,-0.0001372058233325,0.0,0.0,-0.24603541049689934,0.0
1619041506756,1619041506853,4,3.445555048653501e-05,-0.0003508288733325,3.445555048653501e-05,-0.0003508288733325,0.0,0.0,-0.09789788909204135,0.0
1619041507571,1619041507657,8,0.0001412670724865,-0.0003508288733325,0.0001412670724865,-0.0003508288733325,0.0,0.0,-0.38280306140315623,0.0
1619041524786,1619041524863,2,-0.0001791674975134,7.641722066741472e-05,-0.0001791674975134,7.641722066741472e-05,0.0,0.0,0.0,-1.1676450712072612
1619041529602,1619041529696,7,-7.235597251346499e-05,-0.0001372058233325,-7.235597251346499e-05,-0.0001372058233325,0.0,0.0,0.0,0.48529019983861965
1619041530622,1619041530710,0,0.0004617016424865,-0.0002440173533325,0.0004617016424865,-0.0002440173533325,0.0,0.0,-1.0845959218437924,0.0
1619041553985,1619041554053,2,4.971433948653501e-05,0.0001679699566674,4.971433948653501e-05,0.0001679699566674,0.0,0.0,0.2877569439184817,0.0
1619041557348,1619041557420,8,-5.709718351346499e-05,6.115843166741472e-05,-5.709718351346499e-05,6.115843166741472e-05,0.0,0.0,0.0,-0.7510686931919637
1619041617280,1619041617343,8,-0.0001028735475134,7.641722066741472e-05,-0.0001028735475134,7.641722066741472e-05,0.0,0.0,0.0,-0.9319019415260617
1619041618697,1619041618759,0,0.0002175610224865,0.0002900402666674,0.0002175610224865,0.0002900402666674,0.0,0.0,0.6435691179184424,0.0
1619041632248,1619041632312,7,-0.0001028735475134,7.641722066741472e-05,-0.0001028735475134,7.641722066741472e-05,0.0,0.0,0.0,-0.9319019415260617
1619041633057,1619041633126,2,3.937972486535015e-06,-3.039430233258528e-05,3.937972486535015e-06,-3.039430233258528e-05,0.0,0.0,-0.12884509680554773,0.0
1619041633843,1619041633903,4,-0.0004080493275134,0.0006104748366674,-0.0004080493275134,0.0006104748366674,0.0,0.0,0.0,-0.5892106411926478
1619041636030,1619041636099,1,-0.0001028735475134,-3.039430233258528e-05,-0.0001028735475134,-3.039430233258528e-05,0.0,0.0,0.0,1.2835162581289552
1619041637995,1619041638091,8,3.937972486535015e-06,0.0001832287466674,3.937972486535015e-06,0.0001832287466674,0.0,0.0,0.021488802360102525,0.0
1619041639089,1619041639158,9,3.937972486535015e-06,-3.039430233258528e-05,3.937972486535015e-06,-3.039430233258528e-05,0.0,0.0,-0.12884509680554773,0.0
1619041664781,1619041664877,4,0.0001717846524865,-3.039430233258528e-05,0.0001717846524865,-3.039430233258528e-05,0.0,0.0,-1.395676121062976,0.0
1619041665632,1619041665717,1,0.0002785961724865,-3.039430233258528e-05,0.0002785961724865,-3.039430233258528e-05,0.0,0.0,-1.4621280427649832,0.0
1619041682226,1619041682301,3,-0.0002554614275134,-0.0001372058233325,-0.0002554614275134,-0.0001372058233325,0.0,0.0,0.0,1.0779186860312202
1619041683967,1619041684067,7,-0.0002554614275134,7.641722066741472e-05,-0.0002554614275134,7.641722066741472e-05,0.0,0.0,0.0,-1.2801341378944668
1619041684974,1619041685079,2,-0.0001486499175134,7.641722066741472e-05,-0.0001486499175134,7.641722066741472e-05,0.0,0.0,0.0,-1.095952148372136
1619041686811,1619041686888,1,6.497312848653501e-05,-3.039430233258528e-05,6.497312848653501e-05,-3.039430233258528e-05,0.0,0.0,-1.133240520225952,0.0
1619041687798,1619041687885,6,0.0004922192224865,-0.0002440173533325,0.0004922192224865,-0.0002440173533325,0.0,0.0,-1.1105550264647261,0.0
1619041688794,1619041688890,8,-0.0002402026475134,-0.0002440173533325,-0.0002402026475134,-0.0002440173533325,0.0,0.0,0.0,0.7775202837202245
1619041712705,1619041712817,4,-0.0004538256975134,-0.0001372058233325,-0.0004538256975134,-0.0001372058233325,0.0,0.0,0.0,1.2772018771532474
1619041713542,1619041713648,1,-4.183839451346499e-05,-0.0002440173533325,-4.183839451346499e-05,-0.0002440173533325,0.0,0.0,0.0,0.16980553714540225
1619041715545,1619041715656,8,0.0002175610224865,-7.617066933258529e-05,0.0002175610224865,-7.617066933258529e-05,0.0,0.0,-1.234021960332183,0.0
1619041717724,1619041717805,0,-0.0001028735475134,3.064085366741472e-05,-0.0001028735475134,3.064085366741472e-05,0.0,0.0,0.0,-1.2813134645261712
1619041731323,1619041731385,5,-0.0001028735475134,0.0002442638866674,-0.0001028735475134,0.0002442638866674,0.0,0.0,0.0,-0.3986114480851476
1619041733126,1619041733204,2,-0.0001944262875134,0.0002442638866674,-0.0001944262875134,0.0002442638866674,0.0,0.0,0.0,-0.6722776913039161
1619041736077,1619041736162,6,3.937972486535015e-06,-0.0001829821933325,3.937972486535015e-06,-0.0001829821933325,0.0,0.0,-0.021517747809023,0.0
1619041738113,1619041738190,9,0.0004311840724865,-7.617066933258529e-05,0.0004311840724865,-7.617066933258529e-05,0.0,0.0,-1.3959456352326072,0.0
1619041739113,1619041739179,0,0.0001107494924865,-0.0001829821933325,0.0001107494924865,-0.0001829821933325,0.0,0.0,-0.544268934875125,0.0
