timestamp,gyro(x),gyro(y),gyro(z)
1619040829701,2.1362305E-4,6.1035156E-5,-5.950928E-4
1619040829902,4.272461E-4,1.6784668E-4,4.5776367E-5
1619040830102,1.0681152E-4,2.746582E-4,-1.6784668E-4
1619040830304,0.0,1.6784668E-4,-1.6784668E-4
1619040830501,1.0681152E-4,1.6784668E-4,-6.1035156E-5
1619040830704,2.1362305E-4,-4.5776367E-5,-1.6784668E-4
1619040830900,1.0681152E-4,1.6784668E-4,-5.950928E-4
1619040831100,3.2043457E-4,-3.6621094E-4,1.5258789E-4
1619040831302,1.0681152E-4,-4.5776367E-5,-2.746582E-4
1619040831503,2.1362305E-4,1.6784668E-4,-3.8146973E-4
1619040831701,2.1362305E-4,6.1035156E-5,-4.8828125E-4
1619040831901,-1.9836426E-4,1.6784668E-4,-1.6784668E-4
1619040832099,0.0,6.1035156E-5,4.5776367E-5
1619040832302,6.4086914E-4,3.8146973E-4,-3.8146973E-4
1619040832483,3.2043457E-4,6.1035156E-5,-6.1035156E-5
1619040832658,2.1362305E-4,2.746582E-4,-3.8146973E-4
1619040832860,-1.0681152E-4,6.1035156E-5,-1.6784668E-4
1619040833059,0.0,1.6784668E-4,-6.1035156E-5
1619040833259,-1.0681152E-4,-2.593994E-4,4.5776367E-5
1619040833463,1.0681152E-4,-2.593994E-4,4.5776367E-5
1619040833657,2.1362305E-4,1.6784668E-4,1.5258789E-4
1619040833857,4.272461E-4,2.746582E-4,5.79834E-4
1619040834060,3.2043457E-4,4.8828125E-4,4.5776367E-5
1619040834259,3.2043457E-4,1.6784668E-4,4.5776367E-5
1619040834473,1.0681152E-4,2.746582E-4,-6.1035156E-5
1619040834655,7.4768066E-4,6.1035156E-5,4.5776367E-5
1619040834856,2.1362305E-4,1.6784668E-4,-6.1035156E-5
1619040835059,0.0,-1.5258789E-4,-6.1035156E-5
1619040835258,5.340576E-4,1.6784668E-4,-2.746582E-4
1619040835455,2.1362305E-4,-3.6621094E-4,1.5258789E-4
1619040835655,3.2043457E-4,3.8146973E-4,4.5776367E-5
1619040835855,3.2043457E-4,-1.5258789E-4,-1.6784668E-4
1619040836056,9.613037E-4,7.019043E-4,4.5776367E-5
1619040836258,3.2043457E-4,2.746582E-4,-6.1035156E-5
1619040836456,1.0681152E-4,3.8146973E-4,-6.1035156E-5
1619040836654,3.2043457E-4,2.746582E-4,3.6621094E-4
1619040836854,3.2043457E-4,4.8828125E-4,-6.1035156E-5
1619040837057,3.2043457E-4,4.8828125E-4,-2.746582E-4
1619040837253,1.0681152E-4,4.8828125E-4,4.5776367E-5
1619040837453,3.2043457E-4,2.746582E-4,-6.1035156E-5
1619040837652,3.2043457E-4,1.6784668E-4,3.6621094E-4
1619040837856,1.0681152E-4,1.6784668E-4,2.593994E-4
1619040838055,1.0681152E-4,6.1035156E-5,-1.6784668E-4
1619040838251,3.2043457E-4,4.8828125E-4,-1.6784668E-4
1619040838454,6.4086914E-4,3.8146973E-4,3.6621094E-4
1619040838655,2.1362305E-4,1.6784668E-4,-1.6784668E-4
1619040838854,3.2043457E-4,2.746582E-4,4.5776367E-5
1619040839054,4.272461E-4,-4.5776367E-5,4.5776367E-5
1619040839252,-1.0681152E-4,4.8828125E-4,4.5776367E-5
1619040839454,3.2043457E-4,6.1035156E-5,1.5258789E-4
1619040839654,0.0,1.6784668E-4,-1.6784668E-4
1619040839849,3.2043457E-4,4.8828125E-4,-2.746582E-4
1619040848039,-9.1552734E-5,4.8828125E-4,-3.8146973E-4
1619040848243,1.0681152E-4,7.019043E-4,-7.019043E-4
1619040848442,2.1362305E-4,3.8146973E-4,-4.8828125E-4
1619040848638,5.340576E-4,2.746582E-4,-4.8828125E-4
1619040848839,3.2043457E-4,2.746582E-4,4.5776367E-5
1619040849053,3.2043457E-4,3.8146973E-4,-3.8146973E-4
1619040849238,7.4768066E-4,2.746582E-4,-3.8146973E-4
1619040849438,2.1362305E-4,4.8828125E-4,-5.950928E-4
1619040849642,2.1362305E-4,3.8146973E-4,-6.1035156E-5
1619040849841,2.1362305E-4,2.746582E-4,-4.8828125E-4
1619040850039,0.0,4.8828125E-4,-2.746582E-4
1619040850241,1.0681152E-4,2.746582E-4,-3.8146973E-4
1619040850436,1.5258789E-5,0.001876831,-2.746582E-4
1619040850637,2.1362305E-4,-9.0026855E-4,-7.019043E-4
1619040850840,-3.0517578E-4,6.1035156E-5,4.5776367E-5
1619040851040,-5.187988E-4,2.746582E-4,-2.746582E-4
1619040851239,-1.0681152E-4,-4.5776367E-5,-4.8828125E-4
1619040851435,8.544922E-4,-1.5258789E-4,-2.746582E-4
1619040851637,0.0,5.950928E-4,-3.8146973E-4
1619040851839,-5.187988E-4,1.6784668E-4,-6.1035156E-5
1619040852035,1.0681152E-4,4.8828125E-4,-2.746582E-4
1619040852234,1.0681152E-4,5.950928E-4,1.5258789E-4
1619040852434,-1.9836426E-4,7.019043E-4,-2.746582E-4
1619040852635,6.4086914E-4,6.1035156E-5,-3.8146973E-4
1619040852833,1.0681152E-4,1.6784668E-4,-4.8828125E-4
1619040853035,3.2043457E-4,6.1035156E-5,-2.746582E-4
1619040853233,3.2043457E-4,1.6784668E-4,-6.1035156E-5
1619040853433,1.0681152E-4,7.019043E-4,-3.8146973E-4
1619040853636,-2.1362305E-4,-4.5776367E-5,-1.6784668E-4
1619040853836,1.0681152E-4,1.6784668E-4,-2.746582E-4
1619040854033,2.1362305E-4,-1.5258789E-4,-4.8828125E-4
1619040854231,3.2043457E-4,4.8828125E-4,-7.019043E-4
1619040854431,-9.1552734E-5,6.1035156E-5,-1.6784668E-4
1619040854633,7.4768066E-4,2.746582E-4,4.5776367E-5
1619040854832,5.340576E-4,4.8828125E-4,-2.746582E-4
1619040855031,4.272461E-4,1.6784668E-4,-4.8828125E-4
1619040855233,0.0,1.6784668E-4,-9.1552734E-4
1619040855432,2.1362305E-4,1.6784668E-4,-4.8828125E-4
1619040855633,1.0681152E-4,6.1035156E-5,-1.6784668E-4
1619040855829,1.0681152E-4,5.950928E-4,-7.019043E-4
1619040856030,2.1362305E-4,-5.79834E-4,-3.8146973E-4
1619040856232,0.0,5.950928E-4,-3.8146973E-4
1619040856432,1.5258789E-5,5.950928E-4,-1.6784668E-4
1619040856628,2.1362305E-4,3.8146973E-4,-4.8828125E-4
1619040856829,-1.0681152E-4,2.746582E-4,-2.746582E-4
1619040857030,-1.0681152E-4,6.1035156E-5,-4.8828125E-4
1619040857229,-2.1362305E-4,1.6784668E-4,-4.8828125E-4
1619040857427,3.2043457E-4,-2.593994E-4,-4.8828125E-4
1619040857628,0.0,7.019043E-4,-4.8828125E-4
1619040857827,0.0,2.746582E-4,-3.8146973E-4
1619040858033,0.0,-4.5776367E-5,-5.950928E-4
1619040867215,3.2043457E-4,3.8146973E-4,-3.8146973E-4
1619040867415,1.0681152E-4,6.1035156E-5,-6.1035156E-5
1619040867615,0.0,2.746582E-4,-1.6784668E-4
1619040867814,3.2043457E-4,1.6784668E-4,-5.950928E-4
1619040868015,0.0,-4.5776367E-5,-1.6784668E-4
1619040868215,4.272461E-4,1.6784668E-4,-4.8828125E-4
1619040868413,0.0,6.1035156E-5,4.5776367E-5
1619040868613,3.2043457E-4,-6.866455E-4,-3.8146973E-4
1619040868813,1.0681152E-4,9.1552734E-4,-3.8146973E-4
1619040869012,2.1362305E-4,6.1035156E-5,4.5776367E-5
1619040869212,0.0,-2.593994E-4,-2.746582E-4
1619040869413,1.0681152E-4,5.950928E-4,-5.950928E-4
1619040869612,1.0681152E-4,3.8146973E-4,2.593994E-4
1619040869812,-9.1552734E-5,-4.5776367E-5,-4.8828125E-4
1619040870012,-1.0681152E-4,1.6784668E-4,-2.746582E-4
1619040870213,0.0,-1.5258789E-4,4.5776367E-5
1619040870412,4.272461E-4,-0.0011138916,4.5776367E-5
1619040870612,-6.2561035E-4,0.0011291504,1.5258789E-4
1619040870815,0.0,3.8146973E-4,4.5776367E-5
1619040871011,-1.9836426E-4,1.6784668E-4,-2.746582E-4
1619040871214,0.0,0.0011291504,-2.746582E-4
1619040871412,-9.1552734E-5,-6.866455E-4,-1.6784668E-4
1619040871614,1.0681152E-4,-5.79834E-4,-2.746582E-4
1619040871813,2.1362305E-4,-1.5258789E-4,2.593994E-4
1619040872011,-9.1552734E-5,1.6784668E-4,-3.8146973E-4
1619040872211,-3.0517578E-4,3.8146973E-4,-8.087158E-4
1619040872411,-1.0681152E-4,-4.5776367E-5,-2.746582E-4
1619040872613,2.1362305E-4,-1.5258789E-4,-4.8828125E-4
1619040872812,-2.1362305E-4,6.1035156E-5,-1.6784668E-4
1619040873017,0.0,-4.5776367E-5,-6.1035156E-5
1619040873209,-3.0517578E-4,-2.593994E-4,-5.950928E-4
1619040873409,-3.0517578E-4,1.6784668E-4,-5.950928E-4
1619040873612,-2.1362305E-4,1.6784668E-4,-6.1035156E-5
1619040873810,0.0,4.8828125E-4,-6.1035156E-5
1619040874007,-5.187988E-4,-2.593994E-4,-4.8828125E-4
1619040874208,-4.272461E-4,8.087158E-4,-3.8146973E-4
1619040874408,6.4086914E-4,4.8828125E-4,-2.746582E-4
1619040874611,-3.0517578E-4,3.8146973E-4,-6.1035156E-5
1619040874810,0.0,5.950928E-4,-5.950928E-4
1619040875006,1.5258789E-5,2.746582E-4,-6.1035156E-5
1619040875247,0.0,4.8828125E-4,-4.8828125E-4
1619040875450,-5.187988E-4,1.6784668E-4,-5.950928E-4
1619040875646,-1.9836426E-4,1.6784668E-4,-2.746582E-4
1619040875846,-1.0681152E-4,2.746582E-4,-1.6784668E-4
1619040876046,1.0681152E-4,1.6784668E-4,4.5776367E-5
1619040876249,0.0,2.746582E-4,-1.6784668E-4
1619040876446,-1.9836426E-4,4.8828125E-4,4.5776367E-5
1619040876644,1.0681152E-4,-4.5776367E-5,-1.6784668E-4
1619040876845,2.1362305E-4,3.8146973E-4,-3.8146973E-4
1619040877045,3.2043457E-4,-4.5776367E-5,-1.6784668E-4
1619040877244,3.2043457E-4,4.8828125E-4,-3.8146973E-4
1619040937730,-4.5776367E-5,-2.2888184E-4,-1.9836426E-4
1619040937934,-4.5776367E-5,-1.5258789E-5,3.3569336E-4
1619040938133,1.5258789E-4,-3.3569336E-4,1.2207031E-4
1619040938332,4.5776367E-5,9.1552734E-5,-1.9836426E-4
1619040938532,2.593994E-4,-1.2207031E-4,1.2207031E-4
1619040938739,4.5776367E-5,-3.3569336E-4,2.2888184E-4
1619040938931,1.6784668E-4,-2.2888184E-4,4.4250488E-4
1619040939129,3.6621094E-4,-3.3569336E-4,2.2888184E-4
1619040939332,-6.1035156E-5,-1.5258789E-5,-9.1552734E-5
1619040939528,4.5776367E-5,3.0517578E-4,2.2888184E-4
1619040939727,1.5258789E-4,3.0517578E-4,-3.0517578E-4
1619040939927,1.5258789E-4,-9.765625E-4,2.2888184E-4
1619040940128,-6.1035156E-5,9.1552734E-5,1.5258789E-5
1619040940331,-4.5776367E-5,1.9836426E-4,-9.1552734E-5
1619040940530,-4.5776367E-5,-2.2888184E-4,1.2207031E-4
1619040940729,1.5258789E-4,-2.2888184E-4,2.2888184E-4
1619040940930,4.5776367E-5,-3.3569336E-4,4.4250488E-4
1619040941127,1.5258789E-4,3.0517578E-4,1.2207031E-4
1619040941330,-2.593994E-4,9.1552734E-5,-9.1552734E-5
1619040941530,-1.5258789E-4,-1.2207031E-4,-9.1552734E-5
1619040941726,4.5776367E-5,-1.5258789E-5,1.5258789E-5
1619040941926,4.7302246E-4,1.9836426E-4,2.2888184E-4
1619040942124,4.7302246E-4,1.9836426E-4,1.2207031E-4
1619040942327,6.1035156E-5,-1.2207031E-4,2.2888184E-4
1619040942531,-4.5776367E-5,-1.2207031E-4,3.3569336E-4
1619040942723,-1.5258789E-4,9.1552734E-5,1.2207031E-4
1619040942924,-1.5258789E-4,1.9836426E-4,2.2888184E-4
1619040943127,-1.5258789E-4,-4.4250488E-4,4.4250488E-4
1619040943328,2.593994E-4,-3.3569336E-4,1.2207031E-4
1619040943523,2.593994E-4,9.1552734E-5,-9.1552734E-5
1619040943722,-6.1035156E-5,9.1552734E-5,3.3569336E-4
1619040943926,2.593994E-4,-1.2207031E-4,4.4250488E-4
1619040944126,2.593994E-4,-1.2207031E-4,2.2888184E-4
1619040944321,1.6784668E-4,-1.2207031E-4,1.2207031E-4
1619040944522,4.5776367E-5,3.0517578E-4,-1.9836426E-4
1619040944725,2.593994E-4,-1.2207031E-4,2.2888184E-4
1619040944925,-1.5258789E-4,1.9836426E-4,2.2888184E-4
1619040945123,2.593994E-4,1.9836426E-4,2.2888184E-4
1619040945321,3.6621094E-4,-1.2207031E-4,1.5258789E-5
