pressStart,pressStop,label,max beta,max gamma,min beta,min gamma,mean beta,mean gamma
1619041059725,1619041059823,5,-0.00020968507751346498,3.064085366741472e-05,-0.00020968507751346498,3.064085366741472e-05,0.0,0.0
1619041060581,1619041060644,0,0.000202302232486535,-0.00028979371333258527,0.000202302232486535,-0.00028979371333258527,0.0,0.0
1619041080034,1619041080103,1,,,,,,
1619041081136,1619041081198,3,-0.00020968507751346498,0.00013745237666741472,-0.00020968507751346498,0.00013745237666741472,0.0,0.0
1619041082071,1619041082150,7,,,,,,
1619041082974,1619041083069,9,,,,,,
1619041083937,1619041083995,2,3.937972486535015e-06,-0.00018298219333258528,3.937972486535015e-06,-0.00018298219333258528,0.0,0.0
1619041084725,1619041084808,8,0.000522736772486535,3.064085366741472e-05,0.000522736772486535,3.064085366741472e-05,0.0,0.0
1619041085814,1619041085874,4,,,,,,
1619041086669,1619041086773,6,-0.00020968507751346498,3.064085366741472e-05,-0.00020968507751346498,3.064085366741472e-05,0.0,0.0
1619041087641,1619041087736,5,,,,,,
1619041088513,1619041088577,0,0.000309113752486535,0.0002442638866674147,0.000309113752486535,0.0002442638866674147,0.0,0.0
1619041109394,1619041109452,1,0.000202302232486535,0.0004578869466674147,0.000202302232486535,0.0004578869466674147,0.0,0.0
1619041110247,1619041110300,3,,,,,,
1619041111095,1619041111155,7,,,,,,
1619041111952,1619041112014,9,0.000202302232486535,-7.617066933258529e-05,0.000202302232486535,-7.617066933258529e-05,0.0,0.0
1619041112844,1619041112895,2,,,,,,
1619041113747,1619041113813,8,-0.00011813233751346498,0.00035107542666741473,-0.00011813233751346498,0.00035107542666741473,0.0,0.0
1619041114590,1619041114661,4,-2.6579605513464985e-05,-0.0005034167633325853,-2.6579605513464985e-05,-0.0005034167633325853,0.0,0.0
1619041115580,1619041115631,6,-0.000331755387513465,0.00035107542666741473,-0.000331755387513465,0.00035107542666741473,0.0,0.0
1619041116500,1619041116551,5,,,,,,
1619041117472,1619041117555,0,,,,,,
1619041129825,1619041129885,1,,,,,,
1619041130712,1619041130761,3,,,,,,
1619041131923,1619041131967,7,,,,,,
1619041132788,1619041132848,9,,,,,,
1619041133887,1619041133933,2,,,,,,
1619041134658,1619041134727,8,,,,,,
1619041135530,1619041135609,4,-0.000133391127513465,-0.00018298219333258528,-0.000133391127513465,-0.00018298219333258528,0.0,0.0
1619041136442,1619041136512,6,,,,,,
1619041137374,1619041137429,5,,,,,,
1619041138219,1619041138271,0,,,,,,
1619041305347,1619041305408,1,,,,,,
1619041306248,1619041306325,5,-0.000301237807513465,0.00029004026666741475,-0.000301237807513465,0.00029004026666741475,0.0,0.0
1619041307114,1619041307184,9,,,,,,
1619041308000,1619041308067,2,,,,,,
1619041308866,1619041308944,6,0.00011074949248653501,-0.00035082887333258525,0.00011074949248653501,-0.00035082887333258525,0.0,0.0
1619041309839,1619041309907,3,0.000644807112486535,7.641722066741472e-05,0.000644807112486535,7.641722066741472e-05,0.0,0.0
1619041311719,1619041311796,4,,,,,,
1619041312602,1619041312679,8,,,,,,
1619041313346,1619041313441,7,,,,,,
1619041314103,1619041314176,0,,,,,,
1619041326653,1619041326694,1,0.00011074949248653501,-0.0002440173533325853,0.00011074949248653501,-0.0002440173533325853,0.0,0.0
1619041327335,1619041327394,5,,,,,,
1619041328269,1619041328340,9,0.000217561022486535,-0.00013720582333258527,0.000217561022486535,-0.00013720582333258527,0.0,0.0
1619041329065,1619041329135,2,0.00011074949248653501,-3.0394302332585278e-05,0.00011074949248653501,-3.0394302332585278e-05,0.0,0.0
1619041329853,1619041329913,6,0.000324372542486535,0.00029004026666741475,0.000324372542486535,0.00029004026666741475,0.0,0.0
1619041330682,1619041330752,3,0.000324372542486535,-3.0394302332585278e-05,0.000324372542486535,-3.0394302332585278e-05,0.0,0.0
1619041331683,1619041331756,4,,,,,,
1619041332377,1619041332429,8,,,,,,
1619041333221,1619041333288,7,0.000217561022486535,0.00029004026666741475,0.000217561022486535,0.00029004026666741475,0.0,0.0
1619041333911,1619041333963,0,,,,,,
1619041344915,1619041344969,1,,,,,,
1619041345608,1619041345694,5,0.000537995572486535,0.0001832287466674147,0.000537995572486535,0.0001832287466674147,0.0,0.0
1619041346480,1619041346551,9,,,,,,
1619041347444,1619041347507,2,0.000644807112486535,-0.00013720582333258527,0.000644807112486535,-0.00013720582333258527,0.0,0.0
1619041348338,1619041348424,6,,,,,,
1619041349488,1619041349530,3,,,,,,
1619041350706,1619041350779,4,,,,,,
1619041351575,1619041351638,8,,,,,,
1619041352513,1619041352590,7,,,,,,
1619041353290,1619041353350,0,,,,,,
1619041366323,1619041366381,1,,,,,,
1619041367141,1619041367159,5,,,,,,
1619041368357,1619041368400,9,,,,,,
1619041369357,1619041369392,2,,,,,,
1619041370167,1619041370248,6,3.445555048653501e-05,0.00039685178666741473,3.445555048653501e-05,0.00039685178666741473,0.0,0.0
1619041371040,1619041371097,3,,,,,,
1619041372014,1619041372067,4,0.00035489012248653503,-0.00035082887333258525,0.00035489012248653503,-0.00035082887333258525,0.0,0.0
1619041372714,1619041372791,8,,,,,,
1619041373501,1619041373580,7,,,,,,
1619041374148,1619041374218,0,,,,,,
1619041385381,1619041385431,1,0.00014126707248653502,-0.00013720582333258527,0.00014126707248653502,-0.00013720582333258527,0.0,0.0
1619041386078,1619041386146,5,,,,,,
1619041386863,1619041386941,9,,,,,,
1619041387684,1619041387754,2,,,,,,
1619041388505,1619041388576,6,,,,,,
1619041389363,1619041389443,3,0.00014126707248653502,-0.00013720582333258527,0.00014126707248653502,-0.00013720582333258527,0.0,0.0
1619041390428,1619041390498,4,,,,,,
1619041391320,1619041391375,8,,,,,,
1619041392177,1619041392264,7,0.00014126707248653502,-0.00035082887333258525,0.00014126707248653502,-0.00035082887333258525,0.0,0.0
1619041393072,1619041393139,0,,,,,,
1619041404592,1619041404665,1,,,,,,
1619041405432,1619041405503,5,,,,,,
1619041406262,1619041406352,9,,,,,,
1619041407316,1619041407357,2,,,,,,
1619041408194,1619041408283,6,,,,,,
1619041409132,1619041409209,3,-0.000270720227513465,-0.00013720582333258527,-0.000270720227513465,-0.00013720582333258527,0.0,0.0
1619041410164,1619041410225,4,0.00024807859248653503,0.0001832287466674147,0.00024807859248653503,0.0001832287466674147,0.0,0.0
1619041411106,1619041411195,8,0.00024807859248653503,-0.0005644519133325853,0.00024807859248653503,-0.0005644519133325853,0.0,0.0
1619041412017,1619041412086,7,,,,,,
1619041412931,1619041412988,0,3.445555048653501e-05,-0.00035082887333258525,3.445555048653501e-05,-0.00035082887333258525,0.0,0.0
1619041424242,1619041424297,1,,,,,,
1619041425037,1619041425126,5,,,,,,
1619041425950,1619041426018,9,0.00011074949248653501,-0.00018298219333258528,0.00011074949248653501,-0.00018298219333258528,0.0,0.0
1619041426947,1619041427023,2,0.00011074949248653501,0.00013745237666741472,0.00011074949248653501,0.00013745237666741472,0.0,0.0
1619041427762,1619041427845,6,,,,,,
1619041428788,1619041428868,3,,,,,,
1619041429786,1619041429863,4,,,,,,
1619041430654,1619041430747,8,,,,,,
1619041431589,1619041431630,7,,,,,,
1619041432497,1619041432548,0,0.000217561022486535,3.064085366741472e-05,0.000217561022486535,3.064085366741472e-05,0.0,0.0
1619041443080,1619041443117,1,,,,,,
1619041443881,1619041443945,5,0.00011074949248653501,3.064085366741472e-05,0.00011074949248653501,3.064085366741472e-05,0.0,0.0
1619041444748,1619041444811,9,,,,,,
1619041445782,1619041445832,2,,,,,,
1619041446649,1619041446715,6,,,,,,
1619041447581,1619041447641,3,,,,,,
1619041448588,1619041448676,4,,,,,,
1619041449498,1619041449567,8,-0.00010287354751346499,-0.00028979371333258527,-0.00010287354751346499,-0.00028979371333258527,0.0,0.0
1619041450451,1619041450522,7,,,,,,
