,pressStart,pressStop,label,mean gyro(y),mean gyro(z)
111,1619041306248,1619041306325,5,0.00024919493636400386,0.0016150688682482041
112,1619041307114,1619041307184,9,,
113,1619041308000,1619041308067,2,,
114,1619041308866,1619041308944,6,-0.0001016339369685814,0.0014966625827908433
115,1619041309839,1619041309907,3,-2.521671630116668e-05,0.0019123139173334823
116,1619041311719,1619041311796,4,,
117,1619041312602,1619041312679,8,,
118,1619041313346,1619041313441,7,,
119,1619041314103,1619041314176,0,,
120,1619041326653,1619041326694,1,-0.000269234069633752,0.0016870961118761213
121,1619041327335,1619041327394,5,,
122,1619041328269,1619041328340,9,-0.00040643989296633724,0.0015686898264187605
123,1619041329065,1619041329135,2,-0.00043683419529892253,0.0012366604909613997
124,1619041329853,1619041329913,6,-0.00014679392863150778,0.0011182542055040389
125,1619041330682,1619041330752,3,-0.00017718823096409306,0.001106659444046678
126,1619041331683,1619041331756,4,,
127,1619041332377,1619041332429,8,,
128,1619041333221,1619041333288,7,0.00011285203570332168,0.001522310778589317
129,1619041333911,1619041333963,0,,
130,1619041344915,1619041344969,1,,
131,1619041345608,1619041345694,5,0.0002960807823707364,0.0016175275401319562
132,1619041346480,1619041346551,9,,
133,1619041347444,1619041347507,2,0.00015887495903815112,0.0017127443016745954
134,1619041348338,1619041348424,6,,
135,1619041349488,1619041349530,3,,
136,1619041350706,1619041350779,4,,
137,1619041351575,1619041351638,8,,
138,1619041352513,1619041352590,7,,
139,1619041353290,1619041353350,0,,
140,1619041366323,1619041366381,1,,
141,1619041367141,1619041367159,5,,
142,1619041368357,1619041368400,9,,
143,1619041369357,1619041369392,2,,
144,1619041370167,1619041370248,6,0.0005557267457055659,0.0014417501262172345
145,1619041371040,1619041371097,3,,
146,1619041372014,1619041372067,4,0.0002048978723729806,0.0011707559507598735
147,1619041372714,1619041372791,8,,
148,1619041373501,1619041373580,7,,
149,1619041374148,1619041374218,0,,
150,1619041385381,1619041385431,1,6.769204904039534e-05,0.0011133848253025126
151,1619041386078,1619041386146,5,,
152,1619041386863,1619041386941,9,,
153,1619041387684,1619041387754,2,,
154,1619041388505,1619041388576,6,,
155,1619041389363,1619041389443,3,-6.951377429218993e-05,0.0013764482698451516
156,1619041390428,1619041390498,4,,
157,1619041391320,1619041391375,8,,
158,1619041392177,1619041392264,7,-0.0004203426476247752,0.0017463232343877906
159,1619041393072,1619041393139,0,,
160,1619041404592,1619041404665,1,,
161,1619041405432,1619041405503,5,,
162,1619041406262,1619041406352,9,,
163,1619041407316,1619041407357,2,,
164,1619041408194,1619041408283,6,,
165,1619041409132,1619041409209,3,-0.0005575484709573605,0.0016889521089304296
166,1619041410164,1619041410225,4,-0.0003743197242899458,0.0018452040234730688
167,1619041411106,1619041411195,8,-0.0009387716376225311,0.0017878328980157079
168,1619041412017,1619041412086,7,,
169,1619041412931,1619041412988,0,-0.0012896005109551164,0.001730461772558347
170,1619041424242,1619041424297,1,,
171,1619041425037,1619041425126,5,,
172,1619041425950,1619041426018,9,-0.0014725827042877018,0.001444208807100986
173,1619041426947,1619041427023,2,-0.0013351303276202871,0.0009443328016436252
174,1619041427762,1619041427845,6,,
175,1619041428788,1619041428868,3,,
176,1619041429786,1619041429863,4,,
177,1619041430654,1619041430747,8,,
178,1619041431589,1619041431630,7,,
179,1619041432497,1619041432548,0,-0.0013044894739528724,0.0012989489761862643
180,1619041443080,1619041443117,1,,
181,1619041443881,1619041443945,5,-0.0012738486202854577,0.0007990729707289034
182,1619041444748,1619041444811,9,,
183,1619041445782,1619041445832,2,,
184,1619041446649,1619041446715,6,,
185,1619041447581,1619041447641,3,,
186,1619041448588,1619041448676,4,,
187,1619041449498,1619041449567,8,-0.001563642333618043,0.0008332545762715425
188,1619041450451,1619041450522,7,,
189,1619041451533,1619041451596,0,,
190,1619041474574,1619041474628,1,,
191,1619041475467,1619041475520,5,-0.0019144712069506281,0.0007911422368141816
192,1619041476314,1619041476393,9,,
193,1619041477309,1619041477416,2,,
194,1619041478163,1619041478255,6,,
195,1619041479027,1619041479096,3,-0.0020516770302832135,0.0007490298973568208
196,1619041480226,1619041480320,4,-0.002295694383615799,0.00102735213189946
197,1619041481101,1619041481171,8,,
198,1619041481862,1619041481932,7,-0.002432900206948384,0.000771616746442099
199,1619041482736,1619041482816,0,,
200,1619041501112,1619041501179,1,,
201,1619041501977,1619041502047,5,,
202,1619041502724,1619041502817,9,,
203,1619041503678,1619041503734,2,,
204,1619041504728,1619041504817,6,,
205,1619041505551,1619041505613,3,,
206,1619041506756,1619041506853,4,-0.0027837290802809694,0.0009431274509847381
207,1619041507571,1619041507657,8,-0.0031345579536135545,0.0010078266345273773
208,1619041508532,1619041508609,7,,
209,1619041509475,1619041509544,0,,
210,1619041522145,1619041522189,1,,
211,1619041522860,1619041522923,5,,
212,1619041523684,1619041523746,9,,
213,1619041524786,1619041524863,2,-0.00305814073294614,0.0010725258180700164
214,1619041525673,1619041525754,6,,
215,1619041526835,1619041526899,3,,
216,1619041527833,1619041527904,4,,
217,1619041528665,1619041528771,8,,
218,1619041529602,1619041529696,7,-0.0031953465562787253,0.0012440365226126554
219,1619041530622,1619041530710,0,-0.0034393639096113107,0.0016291702771552945
220,1619041551407,1619041551474,1,,
221,1619041552216,1619041552286,5,,
222,1619041553066,1619041553153,9,,
223,1619041553985,1619041554053,2,-0.003271393952943896,0.0015260227816979335
224,1619041554841,1619041554927,6,,
225,1619041555599,1619041555672,3,,
226,1619041556652,1619041556712,4,,
227,1619041557348,1619041557420,8,-0.0032102355212764813,0.0015296868092405727
228,1619041558206,1619041558277,7,,
229,1619041558899,1619041558976,0,,
230,1619041610598,1619041610672,3,,
231,1619041611432,1619041611493,5,,
232,1619041612342,1619041612413,7,,
233,1619041613542,1619041613602,2,,
234,1619041614388,1619041614458,4,,
235,1619041615320,1619041615367,1,,
236,1619041616538,1619041616600,6,,
237,1619041617280,1619041617343,8,-0.0031338183006090667,0.0015028332587832117
238,1619041617999,1619041618051,9,,
239,1619041618697,1619041618759,0,-0.002843778033941652,0.0017964142733258508
240,1619041630929,1619041630984,3,,
241,1619041631586,1619041631631,5,,
242,1619041632248,1619041632312,7,-0.0027673608132742374,0.00187637224586849
243,1619041633057,1619041633126,2,-0.0027977551156068226,0.001849518695411129
244,1619041633843,1619041633903,4,-0.002187280278939408,0.0016090420899537682
245,1619041636030,1619041636099,1,-0.002217674581271993,0.0013685654844964074
246,1619041637117,1619041637191,6,,
247,1619041637995,1619041638091,8,-0.0020344458346045783,0.0013417119340390464
248,1619041639089,1619041639158,9,-0.0020648401369371635,0.0014216699065816856
249,1619041639956,1619041640031,0,,
250,1619041661585,1619041661641,3,,
251,1619041662336,1619041662430,5,,
252,1619041663070,1619041663165,7,,
253,1619041664096,1619041664160,2,,
254,1619041664781,1619041664877,4,-0.0020952344392697487,0.0015016278791243247
255,1619041665632,1619041665717,1,-0.002125628741602334,0.0015815858516669639
256,1619041666681,1619041666752,6,,
257,1619041667467,1619041667563,8,,
258,1619041668251,1619041668341,9,,
259,1619041668924,1619041669040,0,,
260,1619041682226,1619041682301,3,-0.002262834564934919,0.001661543824209603
261,1619041683061,1619041683140,5,,
262,1619041683967,1619041684067,7,-0.0021864173442675047,0.0018483133187522421
263,1619041684974,1619041685079,2,-0.00211000012360009,0.0013942136732948813
264,1619041685869,1619041685997,4,,
265,1619041686811,1619041686888,1,-0.0021403944259326753,0.0011537370678375205
266,1619041687798,1619041687885,6,-0.0023844117792652607,0.0010200719923801596
267,1619041688794,1619041688890,8,-0.002628429132597846,0.0007795953869227987
268,1619041689650,1619041689756,9,,
269,1619041690331,1619041690410,0,,
270,1619041709520,1619041709590,3,,
271,1619041710279,1619041710368,5,,
272,1619041711020,1619041711118,7,,
273,1619041711891,1619041711976,2,,
274,1619041712705,1619041712817,4,-0.0027656349559304315,0.0006459303114654378
275,1619041713542,1619041713648,1,-0.003009652309263017,0.00040545370600807693
276,1619041714644,1619041714738,6,,
277,1619041715545,1619041715656,8,-0.0030858229785956023,0.000775328670550716
278,1619041716617,1619041716687,9,,
279,1619041717724,1619041717805,0,-0.0030551821249281876,0.0006111460150933552
280,1619041730620,1619041730667,3,,
281,1619041731323,1619041731385,5,-0.002810918238260773,0.00023334030963599432
282,1619041732201,1619041732305,7,,
283,1619041733126,1619041733204,2,-0.0025666543515933584,0.00038959222417863347
284,1619041734009,1619041734072,4,,
285,1619041734973,1619041735041,1,,
286,1619041736077,1619041736162,6,-0.0027496365449259435,0.0008662787187212725
287,1619041737053,1619041737141,8,,
288,1619041738113,1619041738190,9,-0.002825807214258529,0.0005952845432639117
289,1619041739113,1619041739179,0,-0.003008789407591114,0.0007515364578065508
