,pressStart,pressStop,label,mean gyro(y),mean gyro(z),max gyro(y),max gyro(z),min gyro(y),min gyro(z)
0,1619046450821,1619046450887,5,,,,,,
1,1619046452125,1619046452176,4,,,,,,
2,1619046453978,1619046454037,2,0.003914806528350694,0.002289546877608507,0.003914806528350694,0.002289546877608507,0.003914806528350694,0.002289546877608507
3,1619046454304,1619046454353,1,,,,,,
4,1619046454563,1619046454629,3,0.0055627558283506936,0.002594722657608507,0.0055627558283506936,0.002594722657608507,0.0055627558283506936,0.002594722657608507
5,1619046454873,1619046454965,6,0.003304455028350694,0.002594722657608507,0.003304455028350694,0.002594722657608507,0.003304455028350694,0.002594722657608507
6,1619046455283,1619046455375,9,0.005196544828350694,0.002838863287608507,0.005196544828350694,0.002838863287608507,0.005196544828350694,0.002838863287608507
7,1619046455889,1619046455940,7,0.003060314428350694,0.0026557578176085073,0.003060314428350694,0.0026557578176085073,0.003060314428350694,0.0026557578176085073
8,1619046460755,1619046460810,1,,,,,,
9,1619046460969,1619046461003,5,,,,,,
10,1619046466906,1619046466979,4,,,,,,
11,1619046467114,1619046467206,3,,,,,,
12,1619046467472,1619046467537,1,,,,,,
13,1619046467914,1619046467998,9,,,,,,
14,1619046468365,1619046468431,7,-3.721978164930599e-05,0.002594722657608507,-3.721978164930599e-05,0.002594722657608507,-3.721978164930599e-05,0.002594722657608507
15,1619046468841,1619046468916,0,,,,,,
16,1619046469264,1619046469322,8,,,,,,
17,1619046469590,1619046469655,5,,,,,,
18,1619046469848,1619046469915,1,,,,,,
19,1619046470025,1619046470117,3,,,,,,
20,1619046476165,1619046476208,1,,,,,,
21,1619046476424,1619046476500,3,0.007180187528350694,0.002533687503608507,0.007180187528350694,0.002533687503608507,0.007180187528350694,0.002533687503608507
22,1619046476810,1619046476918,6,0.030022594528350693,0.001984371097608507,0.030022594528350693,0.001984371097608507,0.030022594528350693,0.001984371097608507
23,1619046477170,1619046477279,6,0.029595348528350694,0.0017402304476085073,0.029595348528350694,0.0017402304476085073,0.029595348528350694,0.0017402304476085073
24,1619046477619,1619046477711,8,,,,,,
25,1619046477975,1619046478082,8,0.018975230528350692,0.002777828127608507,0.018975230528350692,0.002777828127608507,0.018975230528350692,0.002777828127608507
26,1619046478326,1619046478460,9,0.028130504528350694,0.0023505820376085074,0.028130504528350694,0.0023505820376085074,0.028130504528350694,0.0023505820376085074
27,1619046478696,1619046478821,2,0.008828136528350693,0.002716792967608507,0.008828136528350693,0.002716792967608507,0.008828136528350693,0.002716792967608507
28,1619046479123,1619046479206,3,0.022820446528350694,0.002289546877608507,0.022820446528350694,0.002289546877608507,0.022820446528350694,0.002289546877608507
