,pressStart,pressStop,label,mean gyro(y),mean gyro(z)
104,1619046560984,1619046561093,5,,
105,1619046561270,1619046561395,2,0.5589746619809897,0.11277345884968488
106,1619046561572,1619046561681,7,,
107,1619046561883,1619046561992,8,,
108,1619046562299,1619046562391,8,,
109,1619046562923,1619046563004,4,,
110,1619046565597,1619046565694,0,,
111,1619046565829,1619046565931,9,0.5598529695393404,0.1152308524082934
112,1619046566098,1619046566215,9,0.5603650661676911,0.1176882459669019
113,1619046566333,1619046566434,6,,
114,1619046566627,1619046566728,5,0.5620368307960418,0.1202066746815104
115,1619046566913,1619046567064,2,0.5624268571043926,0.1228471737091189
116,1619046567206,1619046567323,2,0.5685541881327433,0.1253656024237274
117,1619046567475,1619046567609,3,,
118,1619046567803,1619046567920,4,0.568684815028094,0.1278229959823359
119,1619046569109,1619046569198,1,0.5690138061764447,0.13046349500994442
120,1619046572977,1619046573101,4,0.5694038324847954,0.13304295887755294
121,1619046573278,1619046573387,8,,
122,1619046573479,1619046573614,7,0.5697786000131461,0.13543931728016145
123,1619046573656,1619046573757,5,,
124,1619046573858,1619046573967,0,,
125,1619046574042,1619046574143,2,,
126,1619046574295,1619046574378,3,0.5701686263214968,0.13795774599476995
127,1619046574670,1619046574804,6,0.5963460068498475,0.14017099894237847
128,1619046575015,1619046575124,6,0.5963240458581982,0.136463841689987
129,1619046575208,1619046575300,1,,
130,1619046578788,1619046578877,7,,
131,1619046578978,1619046579087,8,,
132,1619046579196,1619046579289,0,,
133,1619046579373,1619046579448,5,,
134,1619046579566,1619046579659,2,,
135,1619046579759,1619046579860,1,,
136,1619046579902,1619046580012,3,0.6026497410865489,0.13892123524859548
137,1619046580154,1619046580339,6,0.6127596156148996,0.12030624159620398
138,1619046580448,1619046580566,6,0.6253108971432503,0.12245845937381249
139,1619046580768,1619046580910,3,0.6509999956716009,0.12430550137142099
140,1619046587340,1619046587455,1,0.6511763989339516,0.1266255658290295
141,1619046587572,1619046587698,2,0.6530617865623023,0.12894563028663802
142,1619046587824,1619046587942,2,,
143,1619046588060,1619046588169,4,,
144,1619046588304,1619046588413,4,0.653299224980653,0.13150983536824654
145,1619046588581,1619046588690,5,,
146,1619046588800,1619046588901,7,,
147,1619046589027,1619046589136,7,,
148,1619046589304,1619046589464,0,0.6700924495090037,0.13389093498185503
149,1619046589699,1619046589867,8,0.6848104790373544,0.13572271818946355
150,1619046592049,1619046592197,3,,
151,1619046592323,1619046592449,6,0.704151921565705,0.13670000923707207
152,1619046592593,1619046592701,9,0.6882608200940558,0.13908110885068056
153,1619046592828,1619046592979,1,0.6883151530444065,0.14176738424828908
154,1619046593247,1619046593405,5,0.6904446812727572,0.14414848386189758
155,1619046593523,1619046593682,4,0.6888510650011078,0.1467737240995061
156,1619046593783,1619046593951,2,0.6892716088894585,0.1493989643371146
157,1619046594085,1619046594220,8,0.7042795554178092,0.15208523973472313
158,1619046594439,1619046594606,3,0.7372013199461599,0.15104837058233164
159,1619046594842,1619046594967,6,0.7682920304745106,0.15013357172994016
160,1619046627477,1619046627599,4,0.7679648937028613,0.15269777681154867
161,1619046627701,1619046627793,5,0.7715592657312119,0.13833998515915719
162,1619046627885,1619046628003,2,0.7719187744595626,0.0655257725067657
163,1619046630694,1619046630817,1,0.7703251581879133,0.0680289424323742
164,1619046631069,1619046631178,3,0.7712950184862639,0.0943510817799827
165,1619046631270,1619046631396,3,0.7740959335146146,-0.007546385872408787
166,1619046631573,1619046631732,4,,
167,1619046631816,1619046631959,6,0.7759813211429653,-0.02568835752480028
168,1619046632076,1619046632211,8,0.7764018650313159,-0.014945441177191775
169,1619046632404,1619046632538,8,0.7774937956596666,0.0017331441704167318
170,1619046638770,1619046638858,5,0.7797301354880173,-0.06308546348197477
171,1619046638951,1619046639052,5,0.780379561216368,-0.08757509113436626
172,1619046639136,1619046639270,5,0.7805407056897187,-0.09001576878675775
173,1619046639380,1619046639489,5,0.7806408150070694,-0.08324013793914925
174,1619046639608,1619046639707,5,0.7808477358454201,-0.08079800316954075
175,1619046639902,1619046640019,3,0.7813750912537708,-0.07640274342193225
176,1619046640154,1619046640280,6,0.7821313284821215,-0.07603580407432374
177,1619046640414,1619046640531,6,,
178,1619046640649,1619046640800,6,0.7831469651404722,-0.08996634972671523
179,1619046641430,1619046641554,6,0.7838574260188229,-0.10206584137910672
180,1619046647410,1619046647531,4,0.7837744298671736,-0.09986784723149822
181,1619046647582,1619046647742,6,0.7849731719955243,-0.09760881793388972
182,1619046647851,1619046647969,7,0.784401894593875,-0.09534978863628121
183,1619046648154,1619046648271,7,0.7843646748122257,-0.09321282964867271
184,1619046648431,1619046648523,7,0.7843427138205764,-0.0910758706610642
185,1619046648667,1619046648775,7,,
186,1619046648995,1619046649095,0,0.7847479989189271,-0.1109878623134557
187,1619046649463,1619046649581,0,,
188,1619046649848,1619046649947,0,,
189,1619046650269,1619046650343,2,,
190,1619046656038,1619046656194,1,0.7823914432472778,-0.1087898681658472
191,1619046656295,1619046656447,9,0.7857264157756285,-0.10665290917823869
192,1619046656556,1619046656715,9,0.7860706657039792,-0.10439387988063019
193,1619046656892,1619046657026,2,0.7861707750213299,-0.10231795605302169
194,1619046657160,1619046657312,2,0.7860267437096806,-0.09999789159541318
195,1619046657463,1619046657563,3,0.7868592748980313,-0.09779989744780468
196,1619046657698,1619046657866,3,0.787264559996382,-0.09578500877019618
197,1619046657942,1619046658118,3,0.7883870082247327,-0.09358701462258767
198,1619046658278,1619046658387,3,,
199,1619046659091,1619046659263,9,0.7903639485530835,-0.18130906227497917
