pressStart,pressStop,label,max beta,max gamma,min beta,min gamma,mean beta,mean gamma
1619046450821,1619046450887,5,,,,,,
1619046452125,1619046452176,4,,,,,,
1619046453978,1619046454037,2,0.002934084975361111,0.003914806528350694,0.002934084975361111,0.003914806528350694,0.0,0.0
1619046454304,1619046454353,1,,,,,,
1619046454563,1619046454629,3,0.003422366275361111,0.0055627558283506936,0.003422366275361111,0.0055627558283506936,0.0,0.0
1619046454873,1619046454965,6,0.001957522475361111,0.003304455028350694,0.001957522475361111,0.003304455028350694,0.0,0.0
1619046455283,1619046455375,9,0.002995120175361111,0.005196544828350694,0.002995120175361111,0.005196544828350694,0.0,0.0
1619046455889,1619046455940,7,0.001835452175361111,0.003060314428350694,0.001835452175361111,0.003060314428350694,0.0,0.0
1619046460755,1619046460810,1,,,,,,
1619046460969,1619046461003,5,,,,,,
1619046466906,1619046466979,4,,,,,,
1619046467114,1619046467206,3,,,,,,
1619046467472,1619046467537,1,,,,,,
1619046467914,1619046467998,9,,,,,,
1619046468365,1619046468431,7,0.00023327935336111104,-3.721978164930599e-05,0.00023327935336111104,-3.721978164930599e-05,0.0,0.0
1619046468841,1619046468916,0,,,,,,
1619046469264,1619046469322,8,,,,,,
1619046469590,1619046469655,5,,,,,,
1619046469848,1619046469915,1,,,,,,
1619046470025,1619046470117,3,,,,,,
1619046476165,1619046476208,1,,,,,,
1619046476424,1619046476500,3,0.003468142675361111,0.007180187528350694,0.003468142675361111,0.007180187528350694,0.0,0.0
1619046476810,1619046476918,6,0.013737307775361111,0.030022594528350693,0.013737307775361111,0.030022594528350693,0.0,0.0
1619046477170,1619046477279,6,0.013432131775361112,0.029595348528350694,0.013432131775361112,0.029595348528350694,0.0,0.0
1619046477619,1619046477711,8,,,,,,
1619046477975,1619046478082,8,0.008900271775361112,0.018975230528350692,0.008900271775361112,0.018975230528350692,0.0,0.0
1619046478326,1619046478460,9,0.012577639775361112,0.028130504528350694,0.012577639775361112,0.028130504528350694,0.0,0.0
1619046478696,1619046478821,2,0.004932986375361111,0.008828136528350693,0.004932986375361111,0.008828136528350693,0.0,0.0
1619046479123,1619046479206,3,0.010319338775361111,0.022820446528350694,0.010319338775361111,0.022820446528350694,0.0,0.0
1619046479616,1619046479673,7,,,,,,
1619046481988,1619046482085,1,0.0009046660753611111,3.907416135069401e-05,0.0009046660753611111,3.907416135069401e-05,0.0,0.0
1619046482432,1619046482509,1,,,,,,
1619046482898,1619046482972,1,,,,,,
1619046483310,1619046483368,1,,,,,,
1619046483746,1619046483821,1,0.000843630915361111,0.00010010931735069401,0.000843630915361111,0.00010010931735069401,0.0,0.0
1619046484179,1619046484255,1,,,,,,
1619046484623,1619046484690,2,,,,,,
1619046485058,1619046485116,2,0.001270876975361111,0.0015039179283506939,0.001270876975361111,0.0015039179283506939,0.0,0.0
1619046485524,1619046485600,3,,,,,,
1619046486467,1619046486543,3,,,,,,
1619046491893,1619046491991,5,,,,,,
1619046492328,1619046492421,4,0.00035534966536111107,0.00010010931735069401,0.00035534966536111107,0.00010010931735069401,0.0,0.0
1619046492737,1619046492855,9,0.012333498775361112,0.027398082528350694,0.012333498775361112,0.027398082528350694,0.0,0.0
1619046493192,1619046493301,7,,,,,,
1619046493590,1619046493690,7,,,,,,
1619046494028,1619046494112,7,,,,,,
1619046494773,1619046494838,7,,,,,,
1619046495277,1619046495385,0,,,,,,
1619046495753,1619046495845,0,0.0005384551353611111,0.000283214788350694,0.0005384551353611111,0.000283214788350694,0.0,0.0
1619046497341,1619046497433,0,0.008427248775361112,0.017205211528350695,0.008427248775361112,0.017205211528350695,0.0,0.0
1619046507742,1619046507824,1,0.001026736375361111,0.00022217962835069401,0.001026736375361111,0.00022217962835069401,0.0,0.0
1619046508059,1619046508176,2,0.004810916075361112,0.007912609528350694,0.004810916075361112,0.007912609528350694,0.0,0.0
1619046508420,1619046508546,2,0.002918826275361111,0.004494640528350694,0.002918826275361111,0.004494640528350694,0.0,0.0
1619046508790,1619046508899,4,0.0004774199753611111,-2.196099164930599e-05,0.0004774199753611111,-2.196099164930599e-05,0.0,0.0
1619046509166,1619046509315,5,0.0028577910753611107,0.004494640528350694,0.0028577910753611107,0.004494640528350694,0.0,0.0
1619046509559,1619046509711,7,0.0006605254453611111,0.000161144473350694,0.0006605254453611111,0.000161144473350694,0.0,0.0
1619046509955,1619046510071,7,0.00035534966536111107,3.907416135069401e-05,0.00035534966536111107,3.907416135069401e-05,0.0,0.0
1619046510338,1619046510463,7,0.0005384551353611111,-8.299615164930599e-05,0.0005384551353611111,-8.299615164930599e-05,0.0,0.0
1619046510987,1619046511102,6,0.014103518775361111,0.029778454528350692,0.014103518775361111,0.029778454528350692,0.0,0.0
1619046512205,1619046512263,3,,,,,,
1619046517431,1619046517520,1,,,,,,
1619046517739,1619046517864,2,,,,,,
1619046518118,1619046518242,3,,,,,,
1619046518478,1619046518595,4,0.000843630915361111,0.000283214788350694,0.000843630915361111,0.000283214788350694,0.0,0.0
1619046518823,1619046518957,5,0.002552615275361111,0.003029796828350694,0.002552615275361111,0.003029796828350694,0.0,0.0
1619046519224,1619046519340,6,0.009831057775361111,0.021477672528350693,0.009831057775361111,0.021477672528350693,0.0,0.0
1619046519622,1619046519722,7,0.001026736375361111,0.0005273554083506939,0.001026736375361111,0.0005273554083506939,0.0,0.0
1619046520033,1619046520126,8,,,,,,
1619046520416,1619046520542,9,,,,,,
1619046520893,1619046520967,1,,,,,,
1619046526365,1619046526496,2,0.001942263775361111,0.000832531188350694,0.001942263775361111,0.000832531188350694,0.0,0.0
1619046526673,1619046526790,1,0.0004774199753611111,0.000161144473350694,0.0004774199753611111,0.000161144473350694,0.0,0.0
1619046527000,1619046527151,5,0.000782595775361111,0.000283214788350694,0.000782595775361111,0.000283214788350694,0.0,0.0
1619046527419,1619046527568,8,0.007450686775361111,0.015114757528350694,0.007450686775361111,0.015114757528350694,0.0,0.0
1619046527804,1619046527979,8,0.013798342775361112,0.026604625528350693,0.013798342775361112,0.026604625528350693,0.0,0.0
1619046528223,1619046528366,0,0.013737307775361111,0.028618786528350693,0.013737307775361111,0.028618786528350693,0.0,0.0
1619046528601,1619046528777,6,0.014896975775361112,0.03221986052835069,0.014896975775361112,0.03221986052835069,0.0,0.0
1619046529013,1619046529155,3,0.013065920775361112,0.028191540528350694,0.013065920775361112,0.028191540528350694,0.0,0.0
1619046529467,1619046529626,9,,,,,,
1619046530744,1619046530882,9,0.010441408775361111,0.022576305528350694,0.010441408775361111,0.022576305528350694,0.0,0.0
1619046534255,1619046534361,8,,,,,,
1619046534572,1619046534723,8,0.009892092775361112,0.018609020528350693,0.009892092775361112,0.018609020528350693,0.0,0.0
1619046534933,1619046535101,8,0.013737307775361111,0.026787730528350692,0.013737307775361111,0.026787730528350692,0.0,0.0
1619046535344,1619046535454,8,0.004994021575361112,0.008278820528350694,0.004994021575361112,0.008278820528350694,0.0,0.0
1619046535755,1619046535864,8,0.004078494175361111,0.005959484528350694,0.004078494175361111,0.005959484528350694,0.0,0.0
1619046536155,1619046536272,8,0.003285037175361111,0.004067394528350694,0.003285037175361111,0.004067394528350694,0.0,0.0
1619046536553,1619046536653,8,,,,,,
1619046536960,1619046537053,8,,,,,,
1619046537333,1619046537416,8,,,,,,
1619046538499,1619046538594,8,,,,,,
1619046547041,1619046547172,1,0.0011945830753611112,0.00020692083835069402,0.0011945830753611112,0.00020692083835069402,0.0,0.0
1619046547804,1619046547927,6,0.012196169775361112,0.027199718528350694,0.012196169775361112,0.027199718528350694,0.0,0.0
1619046548239,1619046548356,9,0.004612551775361112,0.008690807528350693,0.004612551775361112,0.008690807528350693,0.0,0.0
1619046548647,1619046548756,5,,,,,,
1619046549000,1619046549126,4,0.001255618175361111,0.000573131778350694,0.001255618175361111,0.000573131778350694,0.0,0.0
1619046549427,1619046549544,0,,,,,,
1619046549810,1619046549927,8,,,,,,
1619046550193,1619046550275,5,,,,,,
1619046550494,1619046550586,2,0.0010725127753611111,0.000267955998350694,0.0010725127753611111,0.000267955998350694,0.0,0.0
1619046550804,1619046550897,1,,,,,,
1619046559862,1619046559960,1,0.00034009087536111105,0.000145885684350694,0.00034009087536111105,0.000145885684350694,0.0,0.0
1619046560111,1619046560220,3,0.007618533275361112,0.016625377528350693,0.007618533275361112,0.016625377528350693,0.0,0.0
1619046560430,1619046560547,6,0.0005842315053611111,0.000573131778350694,0.0005842315053611111,0.000573131778350694,0.0,0.0
1619046560707,1619046560824,4,0.000767336975361111,8.556583350694007e-06,0.000767336975361111,8.556583350694007e-06,0.0,0.0
1619046560984,1619046561093,5,,,,,,
1619046561270,1619046561395,2,0.001988040075361111,0.0008783075583506941,0.001988040075361111,0.0008783075583506941,0.0,0.0
1619046561572,1619046561681,7,,,,,,
1619046561883,1619046561992,8,,,,,,
1619046562299,1619046562391,8,,,,,,
1619046562923,1619046563004,4,,,,,,
1619046565597,1619046565694,0,,,,,,
1619046565829,1619046565931,9,0.000950442435361111,0.0008783075583506941,0.000950442435361111,0.0008783075583506941,0.0,0.0
1619046566098,1619046566215,9,0.0005842315053611111,0.000512096628350694,0.0005842315053611111,0.000512096628350694,0.0,0.0
1619046566333,1619046566434,6,,,,,,
1619046566627,1619046566728,5,0.0014997588753611112,0.001671764628350694,0.0014997588753611112,0.001671764628350694,0.0,0.0
1619046566913,1619046567064,2,0.0005842315053611111,0.000390026308350694,0.0005842315053611111,0.000390026308350694,0.0,0.0
1619046567206,1619046567323,2,0.003574954175361111,0.006127331028350694,0.003574954175361111,0.006127331028350694,0.0,0.0
1619046567475,1619046567609,3,,,,,,
1619046567803,1619046567920,4,0.001133547905361111,0.000130626895350694,0.001133547905361111,0.000130626895350694,0.0,0.0
1619046569109,1619046569198,1,0.000767336975361111,0.000328991148350694,0.000767336975361111,0.000328991148350694,0.0,0.0
1619046572977,1619046573101,4,0.001133547905361111,0.000390026308350694,0.001133547905361111,0.000390026308350694,0.0,0.0
1619046573278,1619046573387,8,,,,,,
1619046573479,1619046573614,7,0.000523196345361111,0.000374767528350694,0.000523196345361111,0.000374767528350694,0.0,0.0
1619046573656,1619046573757,5,,,,,,
1619046573858,1619046573967,0,,,,,,
1619046574042,1619046574143,2,,,,,,
1619046574295,1619046574378,3,0.00040112603536111103,0.000390026308350694,0.00040112603536111103,0.000390026308350694,0.0,0.0
1619046574670,1619046574804,6,0.01175366477536111,0.026177380528350693,0.01175366477536111,0.026177380528350693,0.0,0.0
1619046575015,1619046575124,6,0.000385867245361111,-2.196099164930599e-05,0.000385867245361111,-2.196099164930599e-05,0.0,0.0
1619046575208,1619046575300,1,,,,,,
1619046578788,1619046578877,7,,,,,,
1619046578978,1619046579087,8,,,,,,
1619046579196,1619046579289,0,,,,,,
1619046579373,1619046579448,5,,,,,,
1619046579566,1619046579659,2,,,,,,
1619046579759,1619046579860,1,,,,,,
1619046579902,1619046580012,3,0.003193484475361111,0.006325695228350694,0.003193484475361111,0.006325695228350694,0.0,0.0
1619046580154,1619046580339,6,0.004536257775361111,0.010109874528350694,0.004536257775361111,0.010109874528350694,0.0,0.0
1619046580448,1619046580566,6,0.005634890775361111,0.012551281528350694,0.005634890775361111,0.012551281528350694,0.0,0.0
1619046580768,1619046580910,3,0.011448489775361111,0.025689098528350694,0.011448489775361111,0.025689098528350694,0.0,0.0
1619046587340,1619046587455,1,0.000950442435361111,0.000176403262350694,0.000950442435361111,0.000176403262350694,0.0,0.0
1619046587572,1619046587698,2,0.001927004975361111,0.001885387628350694,0.001927004975361111,0.001885387628350694,0.0,0.0
1619046587824,1619046587942,2,,,,,,
1619046588060,1619046588169,4,,,,,,
1619046588304,1619046588413,4,0.0011945830753611112,0.000237438418350694,0.0011945830753611112,0.000237438418350694,0.0,0.0
1619046588581,1619046588690,5,,,,,,
1619046588800,1619046588901,7,,,,,,
1619046589027,1619046589136,7,,,,,,
1619046589304,1619046589464,0,0.00896130677536111,0.016793224528350695,0.00896130677536111,0.016793224528350695,0.0,0.0
1619046589699,1619046589867,8,0.008274660775361112,0.014718029528350694,0.008274660775361112,0.014718029528350694,0.0,0.0
1619046592049,1619046592197,3,,,,,,
1619046592323,1619046592449,6,0.008778200775361112,0.019341442528350693,0.008778200775361112,0.019341442528350693,0.0,0.0
1619046592593,1619046592701,9,-0.006251706224638888,-0.015891101471649308,-0.006251706224638888,-0.015891101471649308,0.0,0.0
1619046592828,1619046592979,1,0.00027905572036111104,5.433295035069401e-05,0.00027905572036111104,5.433295035069401e-05,0.0,0.0
1619046593247,1619046593405,5,0.0016828642753611111,0.002129528228350694,0.0016828642753611111,0.002129528228350694,0.0,0.0
1619046593523,1619046593682,4,-0.00014819037463888898,-0.001593616271649306,-0.00014819037463888898,-0.001593616271649306,0.0,0.0
1619046593783,1619046593951,2,0.001133547905361111,0.000420543888350694,0.001133547905361111,0.000420543888350694,0.0,0.0
1619046594085,1619046594220,8,0.0069318877753611115,0.015007946528350694,0.0069318877753611115,0.015007946528350694,0.0,0.0
1619046594439,1619046594606,3,0.01573620877536111,0.032921764528350696,0.01573620877536111,0.032921764528350696,0.0,0.0
1619046594842,1619046594967,6,0.014515505775361112,0.031090710528350694,0.014515505775361112,0.031090710528350694,0.0,0.0
1619046627477,1619046627599,4,0.000828372125361111,-0.000327136771649306,0.000828372125361111,-0.000327136771649306,0.0,0.0
1619046627701,1619046627793,5,0.0013776885753611111,0.003594372028350694,0.0013776885753611111,0.003594372028350694,0.0,0.0
1619046627885,1619046628003,2,0.00034009087536111105,0.000359508728350694,0.00034009087536111105,0.000359508728350694,0.0,0.0
1619046630694,1619046630817,1,0.00027905572036111104,-0.001593616271649306,0.00027905572036111104,-0.001593616271649306,0.0,0.0
1619046631069,1619046631178,3,0.000889407275361111,0.0009698602983506941,0.000889407275361111,0.0009698602983506941,0.0,0.0
1619046631270,1619046631396,3,0.000828372125361111,0.002800915028350694,0.000828372125361111,0.002800915028350694,0.0,0.0
1619046631573,1619046631732,4,,,,,,
1619046631816,1619046631959,6,0.0010725127753611111,0.001885387628350694,0.0010725127753611111,0.001885387628350694,0.0,0.0
1619046632076,1619046632211,8,0.000889407275361111,0.000420543888350694,0.000889407275361111,0.000420543888350694,0.0,0.0
1619046632404,1619046632538,8,0.001133547905361111,0.001091930628350694,0.001133547905361111,0.001091930628350694,0.0,0.0
