,pressStart,pressStop,label,max beta,max gamma,min beta,min gamma,mean beta,mean gamma
71,1619146487622,1619146487686,1,,,,,,
72,1619146488839,1619146488904,5,-0.001329212232964824,0.0014716086340703517,-0.001329212232964824,0.0014716086340703517,0.0,0.0
73,1619146490535,1619146490605,6,,,,,,
74,1619146492037,1619146492149,6,-0.001329212232964824,-0.0017242821659296482,-0.001329212232964824,-0.0017242821659296482,0.0,0.0
75,1619146493538,1619146493641,5,,,,,,
76,1619146494857,1619146494935,7,-0.00026391523296482406,-0.010246658265929649,-0.00026391523296482406,-0.010246658265929649,0.0,0.0
77,1619146496066,1619146496104,8,-0.00026391523296482406,-0.0006589851659296482,-0.00026391523296482406,-0.0006589851659296482,0.0,0.0
78,1619146499417,1619146499496,8,,,,,,
79,1619146500637,1619146500724,8,-0.00026391523296482406,0.0004063117340703517,-0.00026391523296482406,0.0004063117340703517,0.0,0.0
80,1619146501854,1619146501941,8,-0.00026391523296482406,-0.0006589851659296482,-0.00026391523296482406,-0.0006589851659296482,0.0,0.0
81,1619146504681,1619146504743,4,-0.001329212232964824,-0.027291408265929646,-0.001329212232964824,-0.027291408265929646,0.0,0.0
82,1619146507066,1619146507136,1,-0.00026391523296482406,-0.013442548265929648,-0.00026391523296482406,-0.013442548265929648,0.0,0.0
83,1619146508465,1619146508538,2,0.0008013815670351761,-0.0038548759659296486,0.0008013815670351761,-0.0038548759659296486,0.0,0.0
84,1619146509620,1619146509697,3,,,,,,
85,1619146511012,1619146511082,7,,,,,,
86,1619146512106,1619146512174,5,0.0008013815670351761,-0.0006589851659296482,0.0008013815670351761,-0.0006589851659296482,0.0,0.0
87,1619146514453,1619146514519,4,-0.00026391523296482406,0.01212457873407035,-0.00026391523296482406,0.01212457873407035,0.0,0.0
88,1619146515642,1619146515727,9,-0.00026391523296482406,-0.0017242821659296482,-0.00026391523296482406,-0.0017242821659296482,0.0,0.0
89,1619146516596,1619146516695,9,,,,,,
90,1619146518276,1619146518373,5,0.0008013815670351761,-0.0027895789659296484,0.0008013815670351761,-0.0027895789659296484,0.0,0.0
91,1619146519779,1619146519857,3,,,,,,
92,1619146522265,1619146522333,2,-0.001329212232964824,0.0004063117340703517,-0.001329212232964824,0.0004063117340703517,0.0,0.0
93,1619146524050,1619146524112,5,,,,,,
94,1619146525920,1619146526029,4,-0.00026391523296482406,-0.0059854696659296484,-0.00026391523296482406,-0.0059854696659296484,0.0,0.0
95,1619146526832,1619146526897,5,,,,,,
96,1619146528654,1619146528756,6,-0.00026391523296482406,0.006798093134070352,-0.00026391523296482406,0.006798093134070352,0.0,0.0
97,1619146532216,1619146532309,6,,,,,,
98,1619146533609,1619146533677,6,,,,,,
99,1619146534463,1619146534562,2,-0.00026391523296482406,-0.0006589851659296482,-0.00026391523296482406,-0.0006589851659296482,0.0,0.0
100,1619146535585,1619146535664,3,,,,,,
101,1619146536861,1619146536932,1,,,,,,
102,1619146538104,1619146538165,8,0.0008013815670351761,-0.0006589851659296482,0.0008013815670351761,-0.0006589851659296482,0.0,0.0
103,1619146539937,1619146539994,9,-0.00026391523296482406,0.003602202434070352,-0.00026391523296482406,0.003602202434070352,0.0,0.0
104,1619146541423,1619146541502,6,,,,,,
105,1619146542515,1619146542595,6,0.0018666785670351763,0.032365219734070354,0.0018666785670351763,0.032365219734070354,0.0,0.0
106,1619146543756,1619146543864,1,,,,,,
107,1619146545721,1619146545773,7,-0.00026391523296482406,-0.014507845265929648,-0.00026391523296482406,-0.014507845265929648,0.0,0.0
108,1619146546651,1619146546724,7,,,,,,
109,1619146547664,1619146547742,4,0.0018666785670351763,0.02916932873407035,0.0018666785670351763,0.02916932873407035,0.0,0.0
110,1619146548815,1619146548885,5,,,,,,
111,1619146550092,1619146550177,6,-0.00026391523296482406,0.0014716086340703517,-0.00026391523296482406,0.0014716086340703517,0.0,0.0
112,1619146558220,1619146558329,1,,,,,,
113,1619146559509,1619146559579,2,0.0008013815670351761,-0.0017242821659296482,0.0008013815670351761,-0.0017242821659296482,0.0,0.0
114,1619146560448,1619146560537,3,,,,,,
115,1619146561786,1619146561855,5,,,,,,
116,1619146563064,1619146563158,6,-0.001329212232964824,-0.013442548265929648,-0.001329212232964824,-0.013442548265929648,0.0,0.0
117,1619146575093,1619146575178,1,0.0008013815670351761,0.01318987473407035,0.0008013815670351761,0.01318987473407035,0.0,0.0
118,1619146576275,1619146576346,1,,,,,,
119,1619146577033,1619146577097,1,,,,,,
120,1619146578310,1619146578399,2,0.0008013815670351761,-0.0038548759659296486,0.0008013815670351761,-0.0038548759659296486,0.0,0.0
121,1619146580079,1619146580158,3,,,,,,
122,1619146582400,1619146582460,2,,,,,,
123,1619146583277,1619146583338,3,,,,,,
124,1619146584215,1619146584279,5,,,,,,
125,1619146584982,1619146585047,4,,,,,,
126,1619146586009,1619146586065,6,,,,,,
127,1619146588881,1619146588967,8,,,,,,
128,1619146589846,1619146589928,9,,,,,,
129,1619146590681,1619146590737,9,,,,,,
130,1619146591499,1619146591580,8,-0.001329212232964824,0.0014716086340703517,-0.001329212232964824,0.0014716086340703517,0.0,0.0
131,1619146592804,1619146592889,4,,,,,,
132,1619146596932,1619146596993,2,-0.00026391523296482406,0.0014716086340703517,-0.00026391523296482406,0.0014716086340703517,0.0,0.0
133,1619146597905,1619146597998,2,-0.002394509132964824,-0.00811606376592965,-0.002394509132964824,-0.00811606376592965,0.0,0.0
134,1619146598983,1619146599063,5,0.0008013815670351761,-0.0017242821659296482,0.0008013815670351761,-0.0017242821659296482,0.0,0.0
135,1619146600096,1619146600180,4,,,,,,
136,1619146601352,1619146601441,6,0.0018666785670351763,0.037691701734070354,0.0018666785670351763,0.037691701734070354,0.0,0.0
137,1619146604969,1619146605028,2,0.0008013815670351761,-0.0038548759659296486,0.0008013815670351761,-0.0038548759659296486,0.0,0.0
138,1619146605964,1619146606063,8,0.0008013815670351761,-0.0017242821659296482,0.0008013815670351761,-0.0017242821659296482,0.0,0.0
139,1619146607076,1619146607164,7,,,,,,
140,1619146608095,1619146608183,7,,,,,,
141,1619146609929,1619146610001,9,-0.00026391523296482406,-0.0038548759659296486,-0.00026391523296482406,-0.0038548759659296486,0.0,0.0
142,1619146617098,1619146617183,5,,,,,,
143,1619146618069,1619146618160,5,,,,,,
144,1619146618694,1619146618794,6,,,,,,
