,pressStart,pressStop,label,mean gyro(y),mean gyro(z)
87,1619146514453,1619146514519,4,-0.04167987667125627,0.001152019285276412
88,1619146515642,1619146515727,9,-0.043404158837185916,0.0009903511361809354
89,1619146516596,1619146516695,9,,
90,1619146518276,1619146518373,5,-0.046193737803115566,0.0008286829870854588
91,1619146519779,1619146519857,3,,
92,1619146522265,1619146522333,2,-0.04578742606904521,0.0017323116379899823
93,1619146524050,1619146524112,5,,
94,1619146525920,1619146526029,4,-0.05177289573497486,0.002635940288894506
95,1619146526832,1619146526897,5,,
96,1619146528654,1619146528756,6,-0.04497480260090451,0.002474272139799029
97,1619146532216,1619146532309,6,,
98,1619146533609,1619146533677,6,,
99,1619146534463,1619146534562,2,-0.045633787766834154,0.0023126039907035525
100,1619146535585,1619146535664,3,,
101,1619146536861,1619146536932,1,,
102,1619146538104,1619146538165,8,-0.0462927729327638,0.002150935841608076
103,1619146539937,1619146539994,9,-0.042690570498693445,0.001989267692512599
104,1619146541423,1619146541502,6,,
105,1619146542515,1619146542595,6,-0.010325350764623091,0.0018275995434171226
106,1619146543756,1619146543864,1,,
107,1619146545721,1619146545773,7,-0.02483319603055274,0.001665931394321646
108,1619146546651,1619146546724,7,,
109,1619146547664,1619146547742,4,0.004336132703517612,0.0015042632452261693
110,1619146548815,1619146548885,5,,
111,1619146550092,1619146550177,6,0.005807741337587964,0.0024078918961306928
112,1619146558220,1619146558329,1,,
113,1619146559509,1619146559579,2,0.004083459171658315,0.0033115205470352163
114,1619146560448,1619146560537,3,,
115,1619146561786,1619146561855,5,,
116,1619146563064,1619146563158,6,-0.009359089094271333,0.0031498523979397396
117,1619146575093,1619146575178,1,0.0038307856397990173,0.002988184248844263
118,1619146576275,1619146576346,1,,
119,1619146577033,1619146577097,1,,
120,1619146578310,1619146578399,2,-2.409032613063123e-05,0.0028265160997487863
121,1619146580079,1619146580158,3,,
122,1619146582400,1619146582460,2,,
123,1619146583277,1619146583338,3,,
124,1619146584215,1619146584279,5,,
125,1619146584982,1619146585047,4,,
126,1619146586009,1619146586065,6,,
127,1619146588881,1619146588967,8,,
128,1619146589846,1619146589928,9,,
129,1619146590681,1619146590737,9,,
130,1619146591499,1619146591580,8,0.0014475183079397204,0.0026648479506533097
