,pressStart,pressStop,label,max beta,max gamma,min beta,min gamma,mean beta,mean gamma
0,1618975179293,1618975179413,1,0.02046464372648664,0.015160202492885725,0.02046464372648664,0.015160202492885725,0.0,0.0
1,1618975179593,1618975179665,2,,,,,,
2,1618975179901,1618975179982,3,-0.013409868273513361,-0.013709426007114275,-0.013409868273513361,-0.013709426007114275,0.0,0.0
3,1618975180161,1618975180280,4,,,,,,
4,1618975180423,1618975180506,5,,,,,,
5,1618975180724,1618975180804,6,,,,,,
6,1618975181038,1618975181172,7,0.009493574726486638,0.0018392795928857245,0.009493574726486638,0.0018392795928857245,0.0,0.0
7,1618975181289,1618975181382,8,-0.012662187273513361,-0.002631545607114276,-0.012662187273513361,-0.002631545607114276,0.0,0.0
8,1618975181588,1618975181662,9,,,,,,
9,1618975182074,1618975182143,0,0.009386762726486638,0.004707931992885724,0.009386762726486638,0.004707931992885724,0.0,0.0
10,1619034673151,1619034673198,1,,,,,,
11,1619034674619,1619034674651,2,,,,,,
12,1619034675746,1619034675791,3,,,,,,
13,1619034676891,1619034676923,4,,,,,,
14,1619034677871,1619034677934,5,3.312509348663855e-05,8.224937885724346e-06,3.312509348663855e-05,8.224937885724346e-06,0.0,0.0
15,1619034678939,1619034678965,6,,,,,,
16,1619034679982,1619034680023,7,0.00035355966648663854,-0.00031220962711427563,0.00035355966648663854,-0.00031220962711427563,0.0,0.0
17,1619034681020,1619034681089,8,,,,,,
18,1619034682060,1619034682101,9,,,,,,
19,1619034683192,1619034683235,0,-0.00027205067351336143,8.224937885724346e-06,-0.00027205067351336143,8.224937885724346e-06,0.0,0.0
20,1619034753525,1619034753581,1,,,,,,
21,1619034754737,1619034754796,1,,,,,,
22,1619034755760,1619034755813,1,,,,,,
23,1619034756791,1619034756838,1,,,,,,
24,1619034757788,1619034757830,1,,,,,,
25,1619034758857,1619034758907,1,,,,,,
26,1619034759852,1619034759911,1,,,,,,
27,1619034760940,1619034760971,1,0.00010941903648663854,-2.2292640114275654e-05,0.00010941903648663854,-2.2292640114275654e-05,0.0,0.0
28,1619034762030,1619034762064,1,,,,,,
29,1619034763043,1619034763074,1,,,,,,
30,1619035178140,1619035178183,2,-0.00011946279351336145,-0.00022065689711427567,-0.00011946279351336145,-0.00022065689711427567,0.0,0.0
31,1619035179321,1619035179384,2,0.0007350293864866386,-0.0007547145071142757,0.0007350293864866386,-0.0007547145071142757,0.0,0.0
32,1619035180047,1619035180110,2,,,,,,
33,1619035180781,1619035180837,2,,,,,,
34,1619035181586,1619035181624,2,,,,,,
35,1619035182391,1619035182445,2,,,,,,
36,1619035183157,1619035183215,2,,,,,,
37,1619035186617,1619035186627,2,,,,,,
38,1619035186632,1619035186634,2,,,,,,
39,1619035186638,1619035186654,2,,,,,,
40,1619035187476,1619035187535,2,,,,,,
41,1619037138184,1619037138244,3,,,,,,
42,1619037138750,1619037138793,3,,,,,,
43,1619037139401,1619037139451,3,,,,,,
44,1619037140789,1619037140866,3,,,,,,
45,1619037141477,1619037141546,3,,,,,,
46,1619037142147,1619037142206,3,-2.7910062513361453e-05,-0.00015962174111427567,-2.7910062513361453e-05,-0.00015962174111427567,0.0,0.0
47,1619037142791,1619037142849,3,,,,,,
48,1619037143423,1619037143493,3,,,,,,
49,1619037144068,1619037144140,3,-0.00013472158351336146,-0.00026643326711427563,-0.00013472158351336146,-0.00026643326711427563,0.0,0.0
50,1619037146388,1619037146449,3,,,,,,
51,1619038103513,1619038103548,4,,,,,,
52,1619038104288,1619038104339,4,,,,,,
53,1619038105158,1619038105198,4,,,,,,
54,1619038106088,1619038106111,4,,,,,,
55,1619038106969,1619038107012,4,,,,,,
56,1619038107889,1619038107941,4,0.00029252450648663855,-0.0003427272071142757,0.00029252450648663855,-0.0003427272071142757,0.0,0.0
57,1619038108683,1619038108738,4,-2.7910062513361453e-05,-2.2292640114275654e-05,-2.7910062513361453e-05,-2.2292640114275654e-05,0.0,0.0
58,1619038109564,1619038109600,4,,,,,,
59,1619038110391,1619038110432,4,,,,,,
60,1619038111229,1619038111270,4,,,,,,
61,1619038500395,1619038500434,5,,,,,,
62,1619038501107,1619038501142,5,,,,,,
63,1619038501905,1619038501939,5,,,,,,
64,1619038502680,1619038502721,5,-0.00039412100351336147,-5.2810218114275655e-05,-0.00039412100351336147,-5.2810218114275655e-05,0.0,0.0
65,1619038503433,1619038503483,5,,,,,,
66,1619038504204,1619038504256,5,,,,,,
67,1619038504965,1619038505008,5,,,,,,
68,1619038505628,1619038505669,5,,,,,,
69,1619038506358,1619038506414,5,,,,,,
70,1619038507043,1619038507095,5,0.0004603711864866385,-0.00048005630711427566,0.0004603711864866385,-0.00048005630711427566,0.0,0.0
71,1619039027224,1619039027297,6,0.0002467481264866385,-0.00017488052711427566,0.0002467481264866385,-0.00017488052711427566,0.0,0.0
72,1619039027610,1619039027675,6,-0.00028730947351336147,-0.00038850357711427564,-0.00028730947351336147,-0.00038850357711427564,0.0,0.0
73,1619039027996,1619039028078,6,0.00013993661648663855,3.8742512885724345e-05,0.00013993661648663855,3.8742512885724345e-05,0.0,0.0
74,1619039028375,1619039028453,6,-7.368642951336145e-05,0.0002523655628857243,-7.368642951336145e-05,0.0002523655628857243,0.0,0.0
75,1619039028773,1619039028837,6,,,,,,
76,1619039029185,1619039029242,6,-0.00028730947351336147,-6.806900711427566e-05,-0.00028730947351336147,-6.806900711427566e-05,0.0,0.0
77,1619039029605,1619039029661,6,3.312509348663855e-05,-0.00028169205711427566,3.312509348663855e-05,-0.00028169205711427566,0.0,0.0
78,1619039029989,1619039030053,6,3.312509348663855e-05,-0.00028169205711427566,3.312509348663855e-05,-0.00028169205711427566,0.0,0.0
79,1619039030384,1619039030442,6,-0.00028730947351336147,0.0003591770928857243,-0.00028730947351336147,0.0003591770928857243,0.0,0.0
80,1619039030777,1619039030850,6,3.312509348663855e-05,-0.00028169205711427566,3.312509348663855e-05,-0.00028169205711427566,0.0,0.0
81,1619039035277,1619039035335,7,,,,,,
82,1619039035700,1619039035765,7,,,,,,
83,1619039036148,1619039036229,7,,,,,,
84,1619039036562,1619039036627,7,,,,,,
85,1619039036966,1619039037030,7,,,,,,
86,1619039037394,1619039037454,7,,,,,,
87,1619039037879,1619039037932,7,,,,,,
88,1619039038285,1619039038351,7,,,,,,
89,1619039038724,1619039038763,7,,,,,,
90,1619039039161,1619039039221,7,,,,,,
